x,y,vel
-60.432556,-61.222099,2.1723593379101924
-58.673286,-61.222099,2.226811338964318
-56.940819,-61.222099,2.2892149913886475
-55.235153,-61.222099,2.377857150019991
-53.556301,-61.222099,2.479267493079392
-51.904251,-61.222099,2.6017289886621096
-50.279011,-61.222099,2.6711329761404974
-48.680576,-61.222099,2.084574237696068
-47.108948,-61.222099,1.2883667300229587
5.27,-61.222099,0.9476985667326389
5.8899999,-61.222099,1.1344414805977063
6.5100002,-61.222099,1.1535106157873112
7.1300001,-61.222099,1.1533690348180459
7.75,-61.222099,1.1807841961034304
8.3700008,-61.222099,1.529110418681434
8.9899998,-61.222099,1.564369091564884
9.6234035,-61.222099,1.6020871960721779
10.283613,-61.222099,1.6453936032635383
10.970629,-61.222099,1.1069694822928522
-60.432556,-59.247639,2.272323253680615
-58.673286,-59.247639,2.3467193642673005
-56.940819,-59.247639,2.4104451524878105
-55.235153,-59.247639,2.471930572055362
-53.556301,-59.247639,2.5717867604903115
-51.904251,-59.247639,2.544869353316887
-50.279011,-59.247639,2.3607348553108274
-48.680576,-59.247639,1.3228805350153003
8.3700008,-59.247639,0.9284122130142604
8.9899998,-59.247639,1.1245004564545973
9.6234035,-59.247639,1.1623809851865912
10.283613,-59.247639,1.2935436654476888
10.970629,-59.247639,1.0908321053373693
-60.432556,-57.307468,2.38093771593885
-58.673286,-57.307468,2.467207465121244
-56.940819,-57.307468,2.5104975822944655
-55.235153,-57.307468,2.500056636269853
-53.556301,-57.307468,1.4405401148825852
-60.432556,-55.401588,2.474688803789443
-58.673286,-55.401588,2.5499539816263743
-56.940819,-55.401588,2.5366777311679933
-55.235153,-55.401588,2.028489069303569
-53.556301,-55.401588,1.0960174755301832
-60.432556,-53.529999,2.5648263641245017
-58.673286,-53.529999,2.6062410170666
-56.940819,-53.529999,2.5360410823239756
-55.235153,-53.529999,1.4506306526987915
-60.432556,-51.692703,2.6351870620224065
-58.673286,-51.692703,2.550567165534533
-56.940819,-51.692703,1.7482494077584343
-55.235153,-51.692703,1.0967587009059656
-60.432556,-49.88969,2.6424338133685024
-58.673286,-49.88969,1.822664794383221
-56.940819,-49.88969,1.0963124609561632
-60.432556,-48.120972,1.9428820567613858
-58.673286,-48.120972,1.1022750239415267
-45.564125,-61.222099,3.203042394889285
-44.046112,-61.222099,3.397981180981712
-42.554901,-61.222099,3.6456400477590023
-41.0905,-61.222099,3.927528538965778
-39.652901,-61.222099,4.17595566520386
-38.242111,-61.222099,4.337865590628767
-36.858124,-61.222099,4.476343674280103
-35.50095,-61.222099,4.594373669940142
-34.170578,-61.222099,4.681742424931506
-32.867016,-61.222099,4.769581606081718
-31.590256,-61.222099,4.911840734541383
-30.340305,-61.222099,5.087669624226459
-29.117161,-61.222099,5.253053084631787
-27.920822,-61.222099,5.406337206176632
-26.751289,-61.222099,5.543839994656317
-25.608562,-61.222099,5.659375062843463
-24.492643,-61.222099,5.758428291639167
-23.40353,-61.222099,5.841867808783702
-22.341225,-61.222099,5.906386739055689
-21.305725,-61.222099,5.952305179017128
-20.297031,-61.222099,5.97921559792974
-19.315144,-61.222099,6.008185113798162
